Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
400,0.066258981,0.03307823,0.042481238,0.003924734,0.120284847,0.075713687,0.05102372,0.024765702,0.044736841,0.011957324,0.050482475,0.032353112,0.032322656,0.033678833,0.05547787,0.125004144,0.088653309,0.138054224,0.474521137,0.033106884
399,0.066395204,0.033153365,0.04258667,0.003929174,0.120455085,0.075969629,0.051246942,0.024800959,0.044749718,0.011975785,0.050675014,0.032289199,0.032377596,0.03381168,0.0555785,0.125218282,0.088914476,0.139016767,0.474489792,0.03319162
398,0.066530915,0.033230427,0.042692743,0.003933668,0.120621987,0.07623333,0.051472675,0.024836258,0.044764191,0.011995667,0.05086614,0.032224182,0.03243355,0.033946017,0.055679131,0.125432419,0.089177746,0.139999968,0.474449715,0.033276356
397,0.066672776,0.033307214,0.042800094,0.003938146,0.12078859,0.07649703,0.051695503,0.024871557,0.04477677,0.012015548,0.051059808,0.032158149,0.032490342,0.034083955,0.055779761,0.125647464,0.089443119,0.140994102,0.474392579,0.033359684
396,0.06681197,0.033384438,0.042908374,0.003942662,0.120955194,0.07677141,0.051923386,0.024906632,0.044790946,0.01203543,0.051253476,0.032090782,0.032547134,0.034224006,0.055882291,0.125862508,0.089714437,0.141999922,0.474352502,0.033444735
395,0.066953623,0.033463314,0.043017294,0.003947232,0.121121797,0.077035111,0.052153419,0.024941708,0.044803227,0.012055311,0.051450047,0.032022761,0.032603724,0.034364932,0.055982921,0.126087337,0.089985756,0.1430221,0.474303694,0.03353014
394,0.067097942,0.033541915,0.043127492,0.003951824,0.12128143,0.077303229,0.052383813,0.024976826,0.04481521,0.012075193,0.051648032,0.031953407,0.032660631,0.034509168,0.056083552,0.126313072,0.090259177,0.144062224,0.474229094,0.033615545
393,0.067239594,0.033620517,0.043238621,0.003956469,0.121444399,0.07756801,0.052616357,0.025011678,0.044826896,0.012095074,0.051848559,0.031882817,0.032717856,0.034655476,0.056186081,0.126539714,0.090533703,0.145111322,0.474154495,0.033700596
392,0.067380222,0.033699118,0.043350388,0.003961151,0.121607369,0.07783279,0.052856107,0.025046572,0.044838581,0.012114956,0.052050861,0.031811342,0.032775399,0.034802369,0.056288611,0.126767263,0.090815281,0.146178737,0.474071164,0.033787723
391,0.067523003,0.03377772,0.043463434,0.003965909,0.121770338,0.078097571,0.053095857,0.025081378,0.044848075,0.012134837,0.052254291,0.031739334,0.03283326,0.034952863,0.05639114,0.12699572,0.091094012,0.147266812,0.473959466,0.033873444
390,0.067666297,0.033856321,0.04357712,0.003970668,0.121933307,0.07836677,0.053338871,0.025116049,0.044859165,0.012156139,0.052459135,0.031665871,0.032892973,0.035105138,0.05649367,0.127233959,0.091379794,0.148368532,0.473847769,0.033959479
389,0.067809078,0.033934923,0.043691735,0.003975479,0.122107705,0.078635969,0.053585827,0.025150632,0.044870255,0.012177441,0.052663694,0.031591524,0.032951151,0.035259195,0.056596199,0.127473106,0.09166768,0.149486238,0.473736072,0.034045515
388,0.067956984,0.034015339,0.043807629,0.003980313,0.122278767,0.078905169,0.053834934,0.025185303,0.044877215,0.012198742,0.05287257,0.031516292,0.033009965,0.035414749,0.056698728,0.127717556,0.091957667,0.150622262,0.473615643,0.034131904
387,0.068104891,0.034096029,0.043924162,0.0039852,0.122446195,0.079185049,0.0540844,0.025219662,0.044885815,0.012220044,0.053083988,0.031439388,0.033069793,0.035573905,0.056801258,0.12795761,0.092248652,0.151774273,0.473495214,0.03421794
386,0.068255768,0.034178097,0.044042994,0.003990088,0.122613622,0.079458667,0.054338922,0.025253887,0.044896309,0.012241346,0.053295406,0.031361249,0.033129939,0.035735749,0.056903787,0.128208354,0.092542845,0.152941889,0.473331935,0.034306052
385,0.068402649,0.034260602,0.044162374,0.003994997,0.12278105,0.079736704,0.05459269,0.025288288,0.044904909,0.012262647,0.053509727,0.031281777,0.033190403,0.035900288,0.057008215,0.128454618,0.09283914,0.154127451,0.473131558,0.034393494
384,0.0685525,0.034344758,0.04428203,0.00399996,0.122944019,0.080018079,0.054851512,0.025322289,0.044912913,0.012283949,0.053727237,0.031201419,0.033252718,0.036067523,0.057112643,0.128701789,0.093137537,0.155327032,0.472950815,0.034481921
383,0.068698869,0.034428915,0.044401885,0.004004922,0.12310669,0.080305717,0.055110695,0.025356244,0.044920917,0.012305251,0.0539441,0.031119741,0.033313817,0.036237737,0.057217071,0.128954347,0.093441881,0.156544558,0.472750438,0.034570348
382,0.068848208,0.034512797,0.044525572,0.004009907,0.123277453,0.080588172,0.055374933,0.025390287,0.044928922,0.012326552,0.054162738,0.031037178,0.033375234,0.036409732,0.057321499,0.129207813,0.09374733,0.157778443,0.472532597,0.03465846
381,0.068997035,0.034598768,0.044648075,0.004014945,0.123441247,0.080870628,0.055638417,0.025424284,0.044934734,0.012347854,0.054385693,0.030953512,0.033437983,0.036583808,0.057425927,0.129466581,0.094054882,0.159030273,0.472314756,0.034746888
380,0.06914832,0.034684464,0.044771417,0.004020091,0.123605041,0.081153084,0.055906956,0.025457615,0.044940248,0.012369155,0.054609776,0.03086861,0.03350105,0.036761194,0.057530355,0.12972186,0.094364536,0.160304723,0.472096916,0.034836299
379,0.069298788,0.034770161,0.044898957,0.004025242,0.123768834,0.081438463,0.056178006,0.025491166,0.044945464,0.012390457,0.054836402,0.030782388,0.033564434,0.03694156,0.057634783,0.129986923,0.094680136,0.161595158,0.471850709,0.034924726
378,0.069452227,0.034855858,0.045027046,0.004030469,0.123937086,0.081721999,0.056456261,0.025524539,0.044950383,0.012411759,0.055064802,0.030694481,0.033628136,0.037124621,0.057739211,0.130257289,0.0949951,0.162908212,0.47156998,0.035013469
377,0.069604641,0.034943369,0.04515205,0.004035728,0.12410088,0.082008874,0.056731612,0.025557866,0.044955004,0.01243448,0.055294331,0.030605241,0.033692474,0.037309141,0.057843639,0.130529469,0.095313164,0.164243885,0.47128925,0.035102881
376,0.069757054,0.03503088,0.045281253,0.004041008,0.124268009,0.082300168,0.057012378,0.025591016,0.044957091,0.012457202,0.055526403,0.030514898,0.033756811,0.037498168,0.057949966,0.130801649,0.095636177,0.165595916,0.471008521,0.035192292
375,0.069911622,0.035120317,0.045410729,0.004046295,0.124435139,0.082597723,0.057297445,0.025624162,0.044961414,0.012479924,0.055759888,0.030423234,0.03382025,0.037689269,0.058056293,0.13108452,0.095962397,0.166968606,0.470702001,0.035282442
374,0.070065981,0.035211569,0.045541045,0.004051651,0.124603092,0.082893436,0.057582512,0.02565713,0.044965737,0.012504066,0.055994862,0.030329887,0.033884007,0.037883357,0.058162619,0.131368297,0.09629072,0.168365875,0.470386748,0.035373576
373,0.070225978,0.035300895,0.04567191,0.004057007,0.124766587,0.083189148,0.05786973,0.025689787,0.044969464,0.012528208,0.056232379,0.030235436,0.03395063,0.038081047,0.058268946,0.131652982,0.096625987,0.169779502,0.470071496,0.035464395
372,0.070385463,0.035392146,0.045807263,0.004062476,0.124930082,0.083491122,0.058164153,0.025722221,0.044973192,0.012550929,0.056474213,0.030139664,0.034017253,0.03828263,0.058375273,0.131937666,0.096963464,0.171213787,0.469730453,0.035555529
371,0.070546655,0.035482482,0.045941868,0.004067968,0.125096825,0.083791009,0.058458577,0.025754641,0.04497831,0.012575071,0.056715815,0.030042947,0.034083623,0.038484602,0.058479701,0.132223286,0.09730227,0.172656669,0.469400648,0.035646558
370,0.070705864,0.035572724,0.046079373,0.004073559,0.125260706,0.084101333,0.058757302,0.025786955,0.044982286,0.012596373,0.056962557,0.029944546,0.034151654,0.038690241,0.058584129,0.1324867,0.09764362,0.174128349,0.46901344,0.035736744
