Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
474,0.100927526,0.30099292,0.080148913,0.152077163,0.237770441,0.094227058,0.108530482,0.205301598,0.095215876,0.001552409,0.090254156,0.043477258,0.0298172,0.019017376,0.575056721,0.523369601,0.453007853,1.79E-06,2.32E-06,1.61E-06
473,0.109581661,0.309977825,0.09107792,0.154036958,0.242771809,0.100146614,0.106174175,0.203271557,0.093457461,0.001472616,0.088675623,0.041745131,0.032004498,0.019384642,0.564993656,0.523271185,0.4537627,1.79E-06,2.33E-06,1.61E-06
472,0.119107944,0.318732318,0.102858246,0.156030361,0.247752565,0.106181062,0.103947705,0.201309915,0.091720487,0.001395616,0.087159952,0.04011815,0.034283059,0.019797302,0.553715428,0.523182372,0.454451926,1.79E-06,2.35E-06,1.62E-06
471,0.129499637,0.327395948,0.115560254,0.158011038,0.252720766,0.112549794,0.101885491,0.199407071,0.089965547,0.001325165,0.085693464,0.038557245,0.036480494,0.020159134,0.541601776,0.523056724,0.455166659,1.79E-06,2.37E-06,1.62E-06
470,0.14060416,0.335825447,0.129153471,0.159922714,0.257734577,0.119073898,0.099903346,0.197513392,0.088250862,0.001253551,0.084244784,0.037051019,0.039074204,0.020666419,0.529222307,0.523163586,0.456079395,1.78E-06,2.37E-06,1.62E-06
469,0.152646831,0.344186853,0.143730437,0.161846795,0.262741699,0.125810596,0.098031296,0.195681425,0.086617053,0.0011961,0.082891902,0.035704361,0.04166267,0.021192428,0.516690942,0.523229099,0.456946208,1.78E-06,2.35E-06,1.62E-06
468,0.165722639,0.352283382,0.159265579,0.163770625,0.26782108,0.132757362,0.096280633,0.193900504,0.085092543,0.00114184,0.081611734,0.034369463,0.044480507,0.021743462,0.50433046,0.523121551,0.45766186,1.77E-06,2.35E-06,1.62E-06
467,0.179770197,0.360267757,0.175700018,0.165578016,0.272935869,0.140005506,0.094625644,0.192196373,0.083594979,0.001089609,0.080353364,0.033148528,0.047446786,0.022367783,0.492102886,0.523072964,0.458408291,1.77E-06,2.34E-06,1.62E-06
466,0.194829133,0.36810875,0.193006125,0.167359764,0.278154802,0.147454483,0.09301772,0.190516947,0.082159703,0.001043429,0.079159815,0.031972092,0.050753357,0.023072162,0.48044492,0.522842655,0.459119518,1.76E-06,2.33E-06,1.62E-06
465,0.211079819,0.375724898,0.211210935,0.169108747,0.283392499,0.155190389,0.091420805,0.188933067,0.080753218,0.000999941,0.078043877,0.030792883,0.054015621,0.023735959,0.46905277,0.522562092,0.459712852,1.76E-06,2.32E-06,1.62E-06
464,0.228377741,0.383109025,0.230227255,0.170803685,0.288705259,0.163240668,0.089902489,0.187329779,0.079431663,0.000957618,0.076990611,0.029650634,0.057593495,0.024573851,0.458021372,0.522375441,0.460387532,1.75E-06,2.33E-06,1.63E-06
463,0.246839936,0.390366286,0.249935978,0.172424371,0.294055642,0.171555076,0.088400431,0.185784193,0.077977488,0.000916691,0.075939496,0.028518289,0.061310482,0.025380011,0.447350725,0.522443744,0.46118986,1.75E-06,2.32E-06,1.62E-06
462,0.266497201,0.397372385,0.270412314,0.174018069,0.299530463,0.180164167,0.086895672,0.184190089,0.076636784,0.000884474,0.075006802,0.02742159,0.065206065,0.026188334,0.437230699,0.522317863,0.461963096,1.75E-06,2.31E-06,1.62E-06
461,0.287286761,0.404094289,0.291453476,0.175507553,0.30500528,0.189000277,0.085390363,0.182730665,0.07531448,0.000850529,0.074115252,0.026389285,0.069189436,0.027058821,0.427471424,0.522335532,0.462668075,1.74E-06,2.31E-06,1.63E-06
460,0.309280005,0.410680641,0.313011212,0.176939939,0.310551024,0.198141031,0.083945045,0.181224631,0.074037282,0.000821537,0.073276111,0.025451717,0.073280349,0.028006133,0.418205809,0.522180038,0.463428206,1.74E-06,2.32E-06,1.62E-06
459,0.332505837,0.417087605,0.334822482,0.178272974,0.31627815,0.207610633,0.082499799,0.179845875,0.072712212,0.000801223,0.072476279,0.024539265,0.077344942,0.028881606,0.409471828,0.522100612,0.464226063,1.74E-06,2.37E-06,1.63E-06
458,0.356657069,0.423168657,0.356962895,0.179521366,0.322033542,0.21734663,0.081012224,0.178444583,0.071513167,0.000782804,0.071716829,0.023715026,0.081399917,0.029802119,0.401554284,0.521779828,0.464915288,1.74E-06,2.28E-06,1.63E-06
457,0.381780965,0.428912708,0.379101238,0.180646778,0.327891563,0.227320411,0.079619884,0.17718269,0.07022938,0.000763155,0.070955411,0.02293108,0.08548875,0.030746574,0.394263308,0.521682331,0.465654862,1.73E-06,2.28E-06,1.64E-06
456,0.407929367,0.434445402,0.401294212,0.181802642,0.333928861,0.237786501,0.07818799,0.175802705,0.068983598,0.000746897,0.070195078,0.022160318,0.089457174,0.03165228,0.387845731,0.521552015,0.466517684,1.72E-06,2.29E-06,1.64E-06
455,0.434828509,0.439595862,0.423273344,0.182859258,0.34012273,0.248532593,0.076755309,0.174534126,0.067697041,0.000737788,0.069433873,0.021431432,0.093390924,0.032613961,0.382035735,0.52152914,0.467303399,1.72E-06,2.30E-06,1.64E-06
454,0.46217851,0.444449875,0.445104277,0.183870659,0.346311079,0.259456668,0.075338811,0.173270899,0.066415825,0.000726018,0.06864341,0.020709959,0.097278553,0.033532505,0.377042176,0.521509078,0.468148256,1.72E-06,2.23E-06,1.64E-06
453,0.490359479,0.448881567,0.46654177,0.18476692,0.352711248,0.270797316,0.073971287,0.172080074,0.065092387,0.000723491,0.067858254,0.020112981,0.101118768,0.034596488,0.37258025,0.52164202,0.469003391,1.71E-06,2.33E-06,1.64E-06
